MATCHID,TEAM1,TEAM2,SCORES,SETSCORES,ATTACKS1,ATTACKS2,BLOCKS1,BLOCKS2,SERVES1,SERVES2,OPPONENT_ERRORS1,OPPONENT_ERRORS2,TOTAL1,TOTAL2,DIGS1,DIGS2,RECEPTION1,RECEPTION2,SETS1,SETS2
13689,Serbia,United States,"1
:
3","24-26
25-23
23-25
20-25",57,56,3,7,6,5,26,31,92,99,29,30,81,71,97,92
13690,France,Netherlands,"3
:
0","25-14
25-23
25-13",41,30,12,1,4,5,18,14,75,50,29,34,40,61,59,76
13691,China,Germany,"3
:
0","25-0
25-0
25-0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13692,Argentina,Slovenia,"1
:
3","20-25
29-27
18-25
17-25",47,50,10,8,4,6,23,38,84,102,66,68,86,65,119,111
13693,Poland,Canada,"3
:
0","25-16
25-18
25-16",43,28,5,2,4,3,23,17,75,50,21,14,37,60,63,70
13694,Serbia,Brazil,"0
:
3","18-25
24-26
17-25",33,36,3,7,3,8,20,25,59,76,23,25,62,46,80,75
13695,United States,Iran,"0
:
3","18-25
27-29
25-27",42,46,4,6,3,5,21,24,70,81,20,16,66,60,89,74
13696,Germany,Netherlands,"1
:
3","25-22
29-31
23-25
16-25",55,57,9,15,1,6,28,25,93,103,86,78,81,74,133,125
13697,Argentina,China,"3
:
1","25-22
22-25
25-22
25-22",61,54,6,6,3,2,27,29,97,91,58,52,74,75,101,102
13698,Japan,Italy,"3
:
2","25-20
21-25
24-26
25-19
15-13",64,63,2,14,14,3,30,23,110,103,71,47,81,96,127,104
13699,Serbia,Canada,"3
:
2","20-25
19-25
25-20
26-24
15-11",58,54,6,9,3,8,38,34,105,105,38,19,80,83,100,100
13700,Iran,Brazil,"0
:
3","28-30
23-25
19-25",35,50,5,7,4,5,26,18,70,80,13,22,60,59,66,83
13701,Australia,Bulgaria,"3
:
2","21-25
25-13
25-22
20-25
17-15",61,53,8,17,7,7,32,23,108,100,42,32,86,94,122,118
13702,Argentina,Netherlands,"2
:
3","25-22
23-25
25-20
19-25
13-15",62,66,11,8,4,8,28,25,105,107,65,67,85,88,107,127
13703,Japan,France,"0
:
3","22-25
25-27
16-25",40,39,2,8,1,5,20,25,63,77,60,54,62,48,95,86
13704,Italy,Slovenia,"3
:
0","25-19
25-16
25-21",49,33,5,4,6,0,15,19,75,56,46,46,48,60,88,73
13705,Canada,Iran,"0
:
3","21-25
25-27
18-25",40,40,3,4,4,4,17,29,64,77,28,23,62,44,80,63
13706,Poland,Australia,"3
:
0","25-17
25-19
25-14",45,27,5,4,4,1,21,18,75,50,26,21,44,65,76,81
13707,United States,Bulgaria,"3
:
1","25-12
20-25
26-24
25-23",55,47,7,5,8,6,26,26,96,84,44,22,69,77,90,101
13708,Germany,France,"1
:
3","16-25
19-25
25-19
21-25",32,48,7,10,4,8,38,28,81,94,32,45,64,57,79,86
13709,Japan,Slovenia,"3
:
1","25-21
22-25
25-18
25-19",55,52,6,9,5,2,31,20,97,83,56,54,65,79,102,103
13710,Italy,China,"3
:
0","25-21
25-18
25-19",45,31,11,4,7,3,12,20,75,58,38,39,52,59,74,80
13711,Serbia,Australia,"3
:
0","25-17
25-20
25-22",51,37,5,6,2,1,17,15,75,59,28,12,48,63,75,62
13712,United States,Poland,"1
:
3","25-21
23-25
24-26
22-25",49,57,5,7,8,4,32,29,94,97,27,38,79,78,96,103
13713,Bulgaria,Brazil,"0
:
3","21-25
19-25
22-25",38,44,8,9,3,4,13,18,62,75,17,26,62,52,75,66
13714,United States,Germany,"3
:
1","25-21
25-19
22-25
25-18",59,47,4,3,7,2,27,31,97,83,55,68,67,78,106,125
13715,Canada,Argentina,"1
:
3","21-25
25-23
21-25
23-25",53,50,4,7,3,4,29,38,89,99,60,49,77,70,107,109
13716,Bulgaria,Italy,"0
:
3","15-25
20-25
23-25",37,37,2,11,2,6,17,21,58,75,12,20,65,48,84,68
13717,Iran,Poland,"3
:
2","21-25
25-23
25-22
25-27
15-7",56,60,5,12,9,10,41,22,111,104,37,36,79,95,106,108
13718,Brazil,Germany,"3
:
1","25-27
25-17
25-20
25-19",63,51,6,6,6,3,25,23,100,83,60,57,69,85,106,118
13719,Japan,Australia,"3
:
1","25-18
25-15
23-25
25-19",61,51,6,4,13,1,18,21,98,77,51,41,67,81,96,84
13720,Netherlands,China,"3
:
0","29-27
25-12
25-13",43,33,13,6,10,0,13,13,79,52,18,24,49,66,71,67
13721,Slovenia,Serbia,"3
:
0","25-15
25-19
25-23",36,36,6,3,4,2,29,16,75,57,14,18,43,62,63,85
13722,France,United States,"2
:
3","25-15
22-25
25-22
14-25
8-15",53,46,5,9,7,6,28,40,93,101,86,61,82,68,132,104
13723,Germany,Australia,"3
:
1","20-25
25-16
25-21
26-24",52,48,8,5,5,4,31,29,96,86,48,50,66,77,96,88
13724,Canada,Brazil,"0
:
3","18-25
19-25
16-25",36,43,1,5,5,4,11,23,53,75,46,49,67,45,91,73
13725,Italy,Iran,"3
:
1","25-16
25-27
25-23
25-23",55,49,10,7,8,8,27,25,100,89,33,32,73,83,104,114
13726,Bulgaria,Slovenia,"1
:
3","22-25
25-22
18-25
16-25",45,53,9,10,4,3,23,31,81,97,13,27,83,64,99,94
13727,Poland,China,"3
:
0","26-24
25-16
25-18",40,34,4,8,12,2,20,14,76,58,13,13,43,65,60,59
13728,Argentina,Australia,"3
:
1","21-25
25-23
25-19
25-15",54,46,12,7,8,3,22,26,96,82,62,46,68,81,100,91
13729,France,Brazil,"3
:
0","25-21
25-22
25-21",49,31,6,2,11,5,9,26,75,64,41,41,60,52,86,73
13730,Japan,Canada,"3
:
1","25-20
25-16
22-25
25-20",54,50,5,4,7,8,31,19,97,81,71,61,65,81,100,105
13731,Bulgaria,Netherlands,"3
:
1","22-25
25-16
25-21
25-21",53,48,12,3,5,6,27,26,97,83,21,29,73,84,104,115
13732,Slovenia,Iran,"0
:
3","24-26
14-25
21-25",27,37,5,6,4,6,23,27,59,76,15,20,57,47,64,68
13733,Italy,Serbia,"3
:
0","25-21
25-14
25-23",36,34,14,3,6,2,19,19,75,58,18,16,51,64,73,94
13734,France,Argentina,"1
:
3","22-25
25-23
23-25
19-25",47,62,4,4,3,5,35,27,89,98,75,73,72,68,108,115
13735,Canada,United States,"0
:
3","19-25
15-25
19-25",34,47,1,5,2,5,16,18,53,75,49,47,61,45,82,72
13736,Germany,Japan,"1
:
3","25-23
22-25
20-25
20-25",47,52,8,10,2,4,30,32,87,98,56,53,77,64,101,92
13737,China,Bulgaria,"3
:
1","26-28
25-23
25-23
25-17",62,55,8,7,7,3,24,26,101,91,22,22,79,84,91,94
13738,Iran,Serbia,"3
:
0","35-33
25-21
25-12",48,40,14,6,7,1,16,19,85,66,25,19,58,72,83,87
13739,Poland,Netherlands,"3
:
0","25-19
25-23
25-22",41,37,7,4,4,6,23,17,75,64,24,19,49,63,60,76
13740,United States,Argentina,"3
:
2","29-27
22-25
20-25
25-13
17-15",65,66,13,7,3,2,32,30,113,105,66,66,81,92,115,130
13741,Australia,France,"0
:
3","16-25
12-25
26-28",23,43,3,8,2,6,26,21,54,78,39,36,55,43,68,66
13742,Brazil,Japan,"3
:
0","25-23
25-23
25-22",42,40,7,3,4,3,22,22,75,68,39,52,56,60,76,81
13743,China,Serbia,"1
:
3","17-25
17-25
25-23
22-25",48,44,7,8,2,6,24,40,81,98,22,31,86,61,99,92
13744,Italy,Netherlands,"3
:
0","25-23
26-24
25-21",44,36,6,5,4,5,19,11,73,57,18,18,49,62,74,72
13745,Poland,Slovenia,"3
:
1","25-14
25-23
23-25
25-17",47,41,13,6,9,7,28,25,97,79,28,22,58,78,88,98
13746,United States,Brazil,"3
:
1","20-25
25-22
25-23
25-17",56,61,7,3,4,2,28,21,95,87,61,61,69,81,104,119
13747,Italy,Netherlands,"3
:
1","21-25
25-22
25-13
25-22",47,52,12,4,7,6,30,20,96,82,51,53,63,88,95,122
13748,France,Japan,"3
:
0","26-24
25-16
25-20",41,30,8,3,3,4,24,23,76,60,33,39,47,54,65,73
13749,Poland,Iran,"3
:
2","25-21
24-26
25-18
16-25
15-7",50,55,10,7,6,6,39,29,105,97,60,61,78,81,106,122
13750,Poland,United States,"0
:
3","22-25
23-25
13-25",34,38,2,6,4,9,18,22,58,75,31,35,63,43,77,63
13751,Italy,France,"0
:
3","22-25
20-25
15-25",32,46,3,4,2,11,20,14,57,75,39,44,57,50,73,71
